Date,Longitude,Latitude,Ozone.8.hr.max.
2005-05-22,-80.781,33.817,48.38
2005-05-22,-80.868,34.133,55.38
2005-05-22,-82.076,34.991,48.88
2005-05-22,-81.56,34.541,48.38
2005-05-22,-79.565,33.726,50.38
2005-05-22,-96.682,43.538,50.75
2005-05-22,-84.223,35.965,54.88
2005-05-22,-83.944,35.631,56.75
2005-05-22,-83.784,35.603,49.38
2005-05-22,-86.745,36.205,53.75
2005-05-22,-86.621,36.151,55.38
2005-05-22,-85.182,35.234,53.13
2005-05-22,-85.162,35.103,56.25
2005-05-22,-83.601,36.114,65.5
2005-05-22,-83.874,36.019,60.13
2005-05-22,-84.317,35.745,52.25
2005-05-22,-84.946,35.289,58
2005-05-22,-86.599,35.733,54.25
2005-05-22,-83.61,35.697,49.13
2005-05-22,-83.498,35.563,54
2005-05-22,-90.019,35.217,66
2005-05-22,-89.832,35.377,73.75
2005-05-22,-89.642,35.188,78.25
2005-05-22,-82.426,36.541,63.37
2005-05-22,-82.486,36.582,60.87
2005-05-22,-86.653,36.298,59.38
2005-05-22,-86.564,36.454,55.13
2005-05-22,-87.137,35.952,56.38
2005-05-22,-86.286,36.06,54.38
2005-05-22,-98.62,29.515,60.63
2005-05-22,-98.565,29.632,70
2005-05-22,-98.312,29.275,53.63
2005-05-22,-95.393,29.52,53.63
2005-05-22,-95.473,29.044,35.25
2005-05-22,-97.494,25.893,27.25
2005-05-22,-96.786,33.132,95.88
2005-05-22,-96.86,32.82,82
2005-05-22,-96.808,32.919,89.25
2005-05-22,-96.872,32.677,73.63
2005-05-22,-96.53,32.78,76.75
2005-05-22,-97.193,33.192,77.25
2005-05-22,-97.025,32.437,66.63
2005-05-22,-94.856,29.263,33.88
2005-05-22,-94.713,32.382,94.13
2005-05-22,-95.327,29.901,75
2005-05-22,-95.126,29.802,77
2005-05-22,-95.675,30.039,58.62
2005-05-22,-95.284,29.827,61.38
2005-05-22,-95.489,29.835,55
2005-05-22,-95.474,29.624,56.75
2005-05-22,-95.494,29.695,65.5
2005-05-22,-95.268,29.626,57
2005-05-22,-95.504,29.725,56.87
2005-05-22,-95.317,29.733,70.63
2005-05-22,-95.35,29.753,67
2005-05-22,-95.078,29.764,79.13
2005-05-22,-95.221,29.768,68.25
